Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
    Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,0,0,1,0,0,0,0,1,1,0,0
    These interviews scare the crap out of me I never imagined so many dumb dumb Americans,1,0,1,0,0,0,0,0,0,0,0
   _emoj_grin_  I'll just people watch and enjoy a rare show of optimism,0,1,0,0,0,1,1,0,0,0,0
   _emoj_heart_  Heart so pure and smile so bright I love you more than the number of stars at night Kindly follow me please Harry ,0,0,0,0,0,1,0,0,0,0,0
   _emoj_heart_  Heart so pure and smile so bright I love you more than the number of stars at night Kindly follow me please Harry  ,0,0,0,0,1,0,1,0,0,0,0
   _emoj_joy_   _emoj_joy_   _emoj_joy_   Sure half these stars get togetherbreak uphave affairslet porn vids slip outfightect etc all to up there ratings sad   _emoj_joy_ ,0,0,0,0,0,0,0,1,1,0,0
   _emoj_leftwards_arrow_  would furrow and her face would redden as she protests it would seem that being seen as unattractive in Wukong's eyes was  _emoj_rightwards_arrow_ ,1,0,1,0,0,0,0,0,0,0,0
   _emoj_nerd_face_ dont be sad btw good night davinago sleep larh,0,0,0,0,0,0,0,0,1,0,0
   _emoj_stuck_out_tongue_closed_eyes_  scared of their own horror story they wrote afraid of the terror they spread will europe start WW3 in anniversary of WW1,0,0,0,1,0,0,0,0,0,0,0
   'We'll see once you're a few drinks in'   A playful wink is passed to him and as they pull up into the small lot of ,0,1,0,0,0,1,1,0,0,0,0
   Actually pretty typical of trump supporters This kid learned birtherism in school That's horrific,1,0,1,1,0,0,0,0,1,0,0
   Always so happy to support you brother Keep that fire burning lt3,0,0,0,0,1,1,1,0,0,0,0
   and there was I thinking UKIP were a party of angry old men  how wrong can you be,1,0,0,0,0,0,0,0,0,0,0
   Anychance of addressing the communication I sent to you yesterday I still haven't had any contact shocking,0,0,0,0,0,0,0,0,0,1,0
   awe cnn so bias and doesn't care about people only money,1,0,1,0,0,0,0,0,0,0,0
   because distrust in life  Argentina has a lot of heart and this President is worth every vote,0,0,0,0,1,0,1,0,0,0,1
   bobs burgers is an animated show Maybe Bob looks like him They would cast him based on voice too,0,1,0,0,0,1,1,0,0,0,0
   but at what price The near misses are too many am afraid it may translate into something else,0,0,0,0,0,0,0,1,0,0,0
   Connor said he's worried that Jack will steal his girls on a night out ,0,0,0,0,0,0,0,0,1,0,0
   Connor said he's worried that Jack will steal his girls on a night out nervous,0,1,1,0,0,0,0,1,0,0,0
   course day  potential Leadership excited nervous  proud,0,0,0,1,0,1,1,0,0,0,0
   Do your fucing job and report the newsJust another bully to go in the basketFreedom or fear,1,0,1,0,0,0,0,0,0,0,0
   even hard facts don't seem to be sinking in I despair   _emoj_weary_ ,1,0,1,0,0,0,0,0,1,0,0
   every horror movie that frightened me as a child ie 'IT' Halloween movies all of them nightmare on,0,0,0,1,0,0,0,0,0,0,0
   Glad the TV coverage was so successful because the attendance looked pretty dismal,0,0,0,0,0,1,0,0,1,1,0
   Guys don't use that type of language Save it for raging,1,0,1,0,0,0,0,0,0,0,0
   horrible experience with a company like this goldmedal horrible sales person wrong commitmentswrongproduct,1,0,1,0,0,0,0,0,0,0,0
   How long ago was that I shudder to think,0,0,1,0,0,0,0,0,0,0,0
   how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,1,0,1,0,0,0,0,0,1,0,0
   how would you suggest we profile to stop right wing terror,0,1,0,1,0,0,0,0,0,0,0
   i do not offend your Faith unless persecutes me treat me like a dog disrespect me and even so,1,0,0,0,0,0,0,0,0,0,0
   I don't listen to White Trash talk about blacks It's insult Talk about your race living in trailers,1,0,1,0,0,0,0,0,0,0,0
   I don't see any reason for optimism at this point Just stringing together bad performances,1,0,1,0,0,0,0,1,1,0,0
   I dread the comparisons to Queen Mxe1xima Guarantee I will lose followers when that happens,0,0,1,0,0,0,0,1,0,0,0
   I get sick to my stomach everytime I see this video amp for the helicopter crew to make such comments is revolting,1,0,1,0,0,0,0,0,1,0,0
   I rejoice everything time some moron is taken out of the genetics pool,1,0,0,0,0,0,0,0,0,0,0
   I respect when someone can give a second chance to a movie they aren't a fan of Why horror is diverse,0,0,0,1,0,0,0,0,0,0,0
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot ,0,0,0,0,1,1,1,0,0,0,0
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot hilarious,0,0,0,0,0,1,0,0,0,0,1
   I'm sure he'll do just fine He can always change to beer or cheer squad,0,0,0,0,0,1,1,0,0,0,1
   I'm there let me know ,0,1,0,0,0,0,1,0,0,0,1
   I'm there let me know sober,0,1,0,0,0,0,1,0,0,0,0
   idiots are going to sink the economy with free money policies,1,0,1,0,0,0,0,0,1,0,0
   If you watch his UN speech you can see his resentment towards us Americans  _emoj_flag_ us_   _emoj_latin_cross_   _emoj_flag_ us_ ,1,0,1,0,0,0,0,0,1,0,0
   Is that really all you can offer for those who sacrifice daily to keep you safe  ,1,0,1,1,0,0,0,0,1,1,0
   Is that really all you can offer for those who sacrifice daily to keep you safe  sad,0,0,1,0,0,0,0,1,1,0,0
   it was indeed lovely and the team were incredibly attentive and on the ball Cheese was a lively gesture,0,0,0,0,0,1,0,0,0,0,0
   It would be TragicallyHip if they can help  make hospitalized  sick kids smile   _emoj_blush_   _emoj_victory_hand_   _emoj_heart_ ,0,0,0,0,0,1,1,0,0,0,0
   It's always fun to anger 'All the Old Dudes' with Rock N' Roll ,1,0,0,0,1,1,1,0,0,0,0
   Jus see if you ever do anything you pussy  u don't scare me look who u chill with   _emoj_joy_   _emoj_joy_   _emoj_joy_ ,1,0,1,0,0,1,0,0,0,0,0
   listen I dn't subscribe to this team coq Team xhaka stuff I like all our players Depth has me elated,0,0,0,0,0,1,0,0,0,0,0
   Make him be a bully Sit him in a room by himself and let him look at Debo all day,1,0,1,0,0,0,0,0,1,0,0
   make him feel vigorous 'Fine You can kill me now' Said Hestia with a display of only despair rather than her joyful  ,0,0,1,0,0,0,0,0,1,0,0
   make sure you tell them how scared you are revenge   _emoj_raised_hands_   _emoj_fitzpatrick_type_3  _emoj_raised_hands_   _emoj_fitzpatrick_type_3,1,0,1,1,0,0,0,0,1,0,0
   of Iraqi political was fighting with Iran against Iraq in 80s of terror in Iraq is Iranian,0,0,0,1,0,0,0,0,0,0,0
   official got in touch Issue not addressed unhappy patheticservices,1,0,1,0,0,0,0,0,1,0,0
   ok but why tomorrow a horrible day my day was great,0,0,0,0,0,1,1,0,0,0,0
   other begin telling a 'story' he realized that she was making an attempt at cheering him up It was sweet of her and so   _emoj_black_rightward_arrowhead_ ,0,0,0,0,1,1,1,0,0,0,0
   rather someone that could help her Concern clouded her green eyes not once having seen a girl alone in the woods and  ,0,0,0,0,0,0,0,0,1,1,0
   sad  This is not film story Who knows could be ploy to escalate tension Unverified report no hype,0,0,0,0,0,0,0,1,0,0,0
   She never said anything about taking away guns but I would now bc of your stupid scare tactics for gun salesSickening,1,0,1,0,0,0,0,0,0,0,0
   she would frown a bit folding her arms 'why is it that every time I'm in need of assistance someone expects a lil ,1,0,1,0,0,0,0,1,1,0,0
   So  Who cares  Who cares about tax forms too  I believe terrorism and jobs are what is important,1,0,1,0,0,0,0,0,0,0,0
   That might sting for a bit lads but you'll get over it     betterwithsinnfein,0,1,0,0,0,0,1,0,0,1,0
   the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,1,1,1,1,0,0,0,1,0,0,0
   The problem is the time it has taken to do this means its going to be out of date already sadly,0,0,0,1,0,0,0,1,1,0,0
   There is some hilarity in someone who is literally openly antiscience calling others antiscience,0,0,0,0,0,1,0,0,0,0,0
   This shit is gonna start a cold war of who can flag who first,1,0,1,0,0,0,0,0,0,0,0
   To good hearts I lost my job I'm Responsible families My Information in profile even dollar if can't just Retweet,0,0,0,0,0,0,0,0,1,0,0
   true Just me spitting venom because I'm still bitter with Stripe Like an old man yelling from his porch,1,0,1,0,0,0,0,0,1,0,0
   Trump says the refugee situation 'is not just about terrorism it's about quality of life' Take note,1,0,1,1,0,0,0,0,0,0,0
   We're the least known band in the World but so glad you asked muchlove ,0,0,0,0,1,1,1,0,0,0,0
   We're the least known band in the World but so glad you asked muchlove hilarious,0,0,0,0,0,1,1,0,0,0,0
   well cucks among her ranks agree equally about their outrage of black youths shot and harambe,1,0,1,0,0,0,0,0,0,0,0
   yeah I received a fine today which I am furious about currently appealing it after being a member for so long,1,0,1,0,0,0,0,1,0,0,0
   yes exactly amp he's sold out this country to terror while lying to cover it up,1,0,1,1,0,0,0,0,0,0,0
   Yes it is bad to point out racism lest it provoke the racists  Some racists do indeed not like it,1,0,1,0,0,0,0,0,0,0,0
  _emoj_ascending_node_  Focusing primarily on the person you're talking to rather than yourself and the impression you're making lessens social anxiety,0,0,0,1,0,0,1,0,0,0,0
  _emoj_bullet_ My brother grabbed me in a aggressive manner and as always  threw tantrums like a kid only knowing how to express himself,1,0,0,0,0,1,0,0,0,0,0
  _emoj_expressionless_   _emoj_expressionless_   _emoj_expressionless_  lt that moment you finish a Netflix series and have nothing else to watch depression,0,0,0,0,0,0,0,1,1,0,0
  _emoj_face_with_rolling_eyes_ I just want to start all over again ,0,1,0,0,0,0,1,0,1,0,0
  _emoj_fallen_leaf_   _emoj_musical_note_  _emoj_black_sun_with_rays_  fall sounds great  dream blues rock by  Get the top album  'One Love'  by hero  D,0,0,0,0,1,1,0,0,0,0,0
  _emoj_fire_   _emoj_information_desk_person_   _emoj_fitzpatrick_type_3  its lit having a class with you Your such a great person and good at cheer,0,0,0,0,1,1,1,0,0,0,1
  _emoj_leaves_  When life shows you have a hundred reasons to cry show it that you have a hundred and one reasons to smile   _emoj_leaves_  quotes ,0,0,0,0,0,0,1,0,0,0,0
  _emoj_scream_   you've had me   _emoj_joy_    _emoj_joy_  the whole time watching  after you've lost your glasses It was hilarious ,0,0,0,0,0,1,1,0,0,0,0
  _emoj_sparkles_  you make me happy    _emoj_sparkles_ ,0,0,0,0,1,1,1,0,0,0,0
  _emoj_tired_face_  ughh I just want all this to be over it's like a nightmare can we all just get along,1,0,1,1,0,0,0,0,0,0,0
  _emoj_trophy_  Success is the best revenge Whatever you're thinking about doing  do something better  ,0,0,0,0,0,1,1,0,0,0,0
  _emoj_upside_down_face_ back to school aka back to social anxiety   _emoj_upside_down_face_,0,0,0,1,0,0,0,1,0,0,0
  'It's alright' She said cheerfully trying to make the moment fun,0,0,0,0,0,1,0,0,0,0,0
  AA have the right of passage when it comes to the 'N' word  Why should he insult him in his church  Ignorant,1,0,1,0,0,0,0,0,0,0,0
  absolutely boringM a big Manchester United fan  nd its really disappointing to see them play in ths dull boring way,1,0,1,0,0,0,0,0,1,0,0
  agreed   _emoj_heart_eyes_  an awe to meet such beautiful powerful animals,0,0,0,0,0,1,0,0,0,0,0
  Although I don't expect a trumpie to understand the difference between real things and pretend things ,1,0,1,0,0,0,0,0,0,0,0
  Although I don't expect a trumpie to understand the difference between real things and pretend things sad,0,0,1,0,0,0,0,1,1,0,0
  an 'Honorable Senator' cheering when a cease fire does not hold PEOPLE DIE AND YOU CHEER GENOCIDE SUPPORT NOT GOOD,1,0,1,1,0,0,0,0,0,0,0
  and gives it to hear 'Please I can tell you anything if you want to listen maybe you're dont afraid anymore of me ,0,0,0,0,0,1,0,0,0,0,0
  and peter your radio piece on off the ball was pure class  no digs  no revenge  a total balanced pro    _emoj_clap_   _emoj_clap_   _emoj_clap_ ,0,0,0,0,0,0,0,0,0,1,0
  annoyed by the good loving fans of Onision including myself Is really annoyed at how people just are too cheerful,1,0,1,0,0,0,0,0,0,0,0
  another angry white man,1,0,1,0,0,0,0,0,1,0,0
  Another happy customer  secreteyes,0,0,0,0,0,1,1,0,0,0,0
  as a musician I can tell you that more people get discouraged when learning because of shitty instruments than anything else,1,0,1,0,0,0,0,0,0,0,0
  At the risk of being blocked I thought that video from the wake was hilarious,0,0,0,0,0,1,0,0,0,0,0
  awe I love you twooo come adventure with me someday,0,0,0,0,1,1,0,0,0,0,0
  bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,1,0,0,0,0,0,0,0,1,0,0
  bad news if ordered online it hasn't gone through same happened to me had to re order on the phone furious,1,0,0,0,0,0,0,0,1,0,0
  because there is a realistic probability that a clown might be their next president clown uspol nightmare,0,0,0,1,0,0,0,0,0,0,0
  Between Barroso going to Goldman and this the  is getting a very serious self inflicted problem,0,0,1,0,0,0,0,0,0,0,0
  Breath You are trending despondent Mrs Clinton will win If you keep your gloves on guard up and punch like hell,1,0,1,0,0,0,1,0,0,0,0
  BTW George W Bush left office in We have had terrific leadership under Barack Obama Keep America Great,1,0,0,0,0,0,0,0,0,0,0
  but be a little playful   He hesitantly pulls away just enough so he could get words out lips brushing against ,0,0,0,0,1,1,0,0,0,0,0
  But I decided to be a bit lackadaisical about getting dressed to get groceries,0,0,0,0,0,1,0,1,0,0,0
  by all accounts he was poor first half Started showboating once game was safe ,1,0,0,0,0,0,0,0,0,0,0
  by all accounts he was poor first half Started showboating once game was safe bully,1,0,1,0,0,0,0,0,0,0,0
  car rental you have made realize why I always use   What a  disgusted,1,0,1,0,0,0,0,0,1,0,0
  car rental you have made realize why I always use   What a nightmare  disgusted,1,0,1,1,0,0,0,0,1,0,0
  cmode grimrail made me want to eat angry bees,1,0,1,0,0,0,0,0,0,0,0
  Crushes are for kids Just like trix  How bout some full blown up Love that makes you quiver deep down into your core Y E S ,0,0,0,0,1,0,0,0,0,0,0
  CureForInsomnia And the left said WE were all doom amp gloom The Trump Train is so much more fun,0,0,0,0,0,1,0,0,0,0,0
  Did they get the wrong fur Pal shocking   _emoj_scream_ ,0,0,1,0,0,0,0,0,1,1,0
  Do you really have to pedal like a nutter to get anywhere I remember it being more sedate,0,1,0,0,0,0,0,0,1,0,0
  Doll is a vile creature on the touchline Every game he has tantrums amp shouts at the ref Would love to see,1,0,1,0,0,1,0,0,0,0,0
  don't fret  this guy is mad because when   is elected he might have to get a real job,1,0,1,0,0,0,0,0,1,0,0
  don't get me started on town centre Used to go every week not been for months ,0,0,0,0,0,0,0,0,1,0,0
  don't get me started on town centre Used to go every week not been for months horrible,1,0,0,1,0,0,0,0,0,0,0
  don't let him discourage you Z That's one of the best ideas yet,1,1,0,0,0,0,1,0,0,0,1
  even if he says nothing he'll still piss some people off He's gotta decide who he wants to make angry,1,0,1,0,0,0,0,0,0,0,0
  good thing the FBI didn't offend them,0,0,0,0,0,0,1,0,0,0,0
  Ha Right I'm from San Jose CA and I was offended right there with you Dave go on a walk or something next time,1,0,1,0,0,0,0,0,0,0,0
  had more fun than the funniest person in funsville Much hilarity as usual Thank you   _emoj_heart_  ufe0f,0,0,0,0,1,1,0,0,0,0,0
  haha it's me shocking I know   _emoj_joy_  you'll hear me moan I'm too cold in winter   _emoj_snowman_without_snow_  ufe0f,0,0,0,0,0,0,0,0,0,1,0
  her team must draw from a hat for daily personality drugged angry yeller quiet screamer   _emoj_joy_   _emoj_joy_ ,1,0,1,0,0,0,0,0,1,0,0
  Hey stupid that was bad intel to take Bin Laden out Try again with your faux outrage I bet u admire Putin right,1,0,1,0,0,0,0,0,0,0,0
  Hi We hate that you're unhappy your bill keeps going up What unique features do you want with your plan RobertS,0,0,1,0,0,0,1,0,1,0,0
  High school or not it's still shocking Just because you love Xbox Good luck tomorrow   _emoj_muscle_ ,0,0,0,1,0,1,1,0,0,1,0
  hmm don't know many yf  who are short on confidence Wish I'd been one ,0,1,0,0,0,0,0,0,1,0,0
  hmm don't know many yf  who are short on confidence Wish I'd been one shy,0,0,0,1,0,0,0,1,0,0,0
  however REI did offer me the job today as well Can't believe how exponentially freaking joyous I feel,0,0,0,0,0,1,1,0,0,0,0
  HRC has the experience temperment knowledge amp ability to lead us in this perilous time,0,0,0,0,0,0,0,0,0,0,1
  I am beyond the sadness point Have done it inside out I live with CPTSD and BPD  I can't always do the pity party,0,0,0,0,0,0,1,1,1,0,0
  I can't find my patronus the website doesn't work I can't even see the questions sadness,0,0,0,0,0,0,0,1,1,0,0
  I can't read this article but headline indicates a horror story Lock sick chavs up and throw away the key,1,0,0,1,0,0,0,0,0,0,0
  I could not believe that their answer to his outrage was that they were right I do hope he takes them to the cleaners,1,0,1,0,0,0,1,0,0,1,0
  I couldn't care less about GOTHAM I haven't watched it since the mid point of season ,1,0,1,0,0,0,0,0,0,0,0
  I couldn't care less about GOTHAM I haven't watched it since the mid point of season horrible,0,0,1,0,0,0,0,0,1,0,0
  I feel strongly that we need to work together to right this dreadful wrong,0,0,0,0,0,1,1,0,0,0,1
  i filled out the report on baitswitch by  lets go get them fines levied badbusiness honoryourdeal unhappy,1,0,0,0,0,0,0,0,1,0,0
  I guess It's just heartbreaking the ease with which they can kill an innocent man and get away with it ,1,0,1,0,0,0,0,1,1,0,0
  I guess It's just heartbreaking the ease with which they can kill an innocent man and get away with it indignation,1,0,1,0,0,0,0,0,1,0,0
  I have noticed since HillarysHeath has become an issue the left is going full panic mode NTAC,0,0,1,1,0,0,0,1,0,0,0
  I heard talk something is a miss He looks weary,0,0,1,0,0,0,0,1,1,0,0
  I hope to now see some levity light romance and happiness come Stitch and Abby's way after such a long hard road,0,1,0,0,0,1,1,0,0,0,0
  i just read it and it's so fun So lighthearted and cheerful i was right it's a double cavity for me,0,0,0,0,0,1,0,0,0,0,0
  I liked that she was not moping around in all of the episode She had a moment of emotional weakness felt sorry about ,0,0,0,0,0,0,0,0,1,0,0
  I live a life devoid of mirth Come to think of it there aren't enough taco bowls in my life either,0,0,1,0,0,0,0,1,1,0,0
  I lost it at Like really not a big deal Don't worry about trivial shit like that,0,0,0,0,0,0,1,0,0,0,0
  I need it today Do u know how many fuckin French plaits I had to do this morn with a stroppy yr old rage,1,0,1,0,0,0,0,0,0,0,0
  I was so looking forward to  Then it opened with a stuartspecial I literally yelled at my tv ,1,0,1,0,0,0,0,0,1,0,0
  I was so looking forward to  Then it opened with a stuartspecial I literally yelled at my tv umbrage,1,0,0,0,0,0,0,0,0,0,0
  i will fight this guy Don't insult the lions like that But seriously they kinda areWasted some of the best players,1,0,1,0,0,0,0,1,0,0,0
  I will next time I'll make sure everything is sparkling clean,0,1,0,0,0,1,1,0,0,0,1
  I wish I really truly wish that I had just a modicum of your banter ,0,0,0,0,0,1,1,0,0,0,0
  I wish I really truly wish that I had just a modicum of your banter hilarious,0,0,0,0,0,1,0,0,0,0,0
  I would always be honest but it's great to feedback opinion to the brand  don't want to offend them BlogHour,0,0,0,0,1,1,1,0,0,0,0
  I'd rather leave my child with  shudder,0,0,1,1,0,0,0,1,1,0,0
  I'd rather see KYLE from bbcan play again and THAT is saying something awful,1,0,1,0,0,1,0,0,1,0,0
  I've always been fiery but never radical,1,0,0,0,0,0,0,0,0,0,0
  I've got teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly ,0,0,0,0,0,0,0,1,1,0,0
  Idiots like Larry Sanders scare us AllHow can Morons these days Rush Judge Police wo all facts yetFU thugs,1,0,1,0,0,0,0,0,0,0,0
  If people are in a country of million  you are going to RUIN the whole country over people ,1,0,1,0,0,0,0,0,0,0,0
  If people are in a country of million  you are going to RUIN the whole country over people fear,0,0,1,1,0,0,0,0,0,0,0
  im now writing abt the changing face of sex industry in tr  now men will talk to me then revenge,1,0,1,0,0,0,0,0,0,0,0
  in fact they need to start making all holidays Maybe even e dry month pick a theme so we can have them all year,0,0,0,0,0,1,0,0,0,0,0
  inclined to think that 'documentary' did him more harm than good If not I despair of people's critical faculties,1,0,1,0,0,0,0,0,1,0,0
  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud ,1,0,1,0,0,0,0,0,0,0,0
  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud bully,1,0,1,0,0,0,0,1,0,0,0
  is that an insult Sounds like a job well done it's red so it's done the job it was suppose to do justsaying,1,0,0,0,0,0,0,0,0,1,0
  Isn't that exactly what they should do What took so long He is more afraid of ClintonMafia than Congress,0,0,0,1,0,0,0,0,0,0,0
  it also helps that the majority of NFL coaching is inept Some of Bill O'Brien's play calling was wow  GOPATS,1,0,1,0,0,1,1,0,0,0,0
  it also helps that the majority of NFL coaching is inept Some of Bill O'Brien's play calling was wow awful GOPATS,1,0,1,0,0,1,0,0,0,0,0
  It is very specific areas only I care like about clothes much to my mother's dismay,0,0,1,0,0,0,0,0,1,0,0
  it would be a great opportunity to settle the globe down fear does wonders,0,0,0,1,0,1,1,0,0,0,0
  It's not Fox News it's Fox Propaganda Network they're so lost in their lies that they can't tell the truth if it hit them in face,1,0,1,0,0,0,0,0,0,0,0
  It's ok be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS,1,0,1,0,0,0,0,0,0,0,0
  It's our job the job of people who r still sanestill ok in life to help the lost to find themselves amp love eachother,0,0,0,0,0,1,0,0,0,0,0
  it's sad but now we are making our own children vulnerable to the same terror,0,0,1,1,0,0,0,1,1,0,0
  It's true I reverseengineered the drink It's a scientific method I hear it's all the rage,1,0,0,0,0,1,1,0,0,0,0
  Italy another round lets not drop our play and take it to them with a big result out there guys blues,0,1,0,0,0,0,1,0,0,0,1
  just got wind of MenForChoice and it doesn't infuriate me Just makes me sad for the generation,0,0,0,0,0,0,0,1,1,0,0
  just saw the Save The Day PSA Why were you in obvious tears doing it I'd have thought you'd be your cheerful self,0,0,0,0,0,0,0,0,1,0,0
  Katie I love how you describe yourself as 'normal' Really you're anything but  neverchange,0,0,0,0,1,1,1,0,0,0,0
  Katie I love how you describe yourself as 'normal' Really you're anything but hilarious neverchange,0,0,0,0,1,1,1,0,0,0,0
  like going to a so called cardiac arrest that turned out to be a cut finger  medchat,0,0,1,0,0,0,0,0,0,0,0
  like going to a so called cardiac arrest that turned out to be a cut finger fuming medchat,1,0,1,0,0,0,0,0,0,0,0
  like hope i didn't offend with my commentary  it wasn't what I was intending,0,0,0,0,0,0,0,0,1,0,0
  looks like a book shaped like a gun to me  itsagunalright,0,0,1,0,0,0,0,0,0,1,0
  looks like a book shaped like a gun to me optimism itsagunalright,0,0,0,0,0,0,1,0,0,0,0
  Maybe also being attacked by Tom's rabid fans to whom he amp his clothes were always perfect also put me off him,1,0,1,0,0,0,0,0,1,0,0
  maybe it'd have been different if I stayed for sixth form But still the oppressive architecture uninteresting people,0,0,1,0,0,0,0,1,1,0,0
  Meanwhile white cops keep killing black people But there's less outrage about that Strange society that,1,0,1,0,0,0,0,0,0,0,0
  Modern Day bookburning without all that awful guilt Oh and now with more gleeful social sharing for the ahats,1,0,0,0,0,1,0,0,1,0,0
  most of Trump supporters have not clue about the meaning of the words they used just like him  nevertrump,1,0,1,0,0,0,0,1,0,0,0
  most of Trump supporters have not clue about the meaning of the words they used just like him sad nevertrump,0,0,1,0,0,0,0,1,1,0,0
  Much to my delight,0,0,0,0,0,1,0,0,0,0,0
  Muslims have been in USA for ages To think that Muslims commit terrorism due to Islam you gotta be out of your mind,0,0,1,0,0,0,0,0,0,0,0
  my god is  a full shilling Seriously you need a major rethink or no lab gove in your lifetime sad,0,0,0,0,0,0,0,1,1,0,0
  My guess is he's just a convenient target for misplaced anger  What they're really mad at is how they played,1,0,0,0,0,0,0,0,0,0,0
  My main hesitation to going to the Plus size But if Apple can get the Plus to the size think of the ASP jump,0,1,0,0,0,0,1,0,1,0,0
  neither one of y'all can see me in this madden,1,0,0,0,0,1,1,0,0,0,0
  never said thatJust not fair how Yous think it's completely okay to bully someone,1,0,1,0,0,0,0,0,0,0,0
  New campaign slogan idea'I know you are but what am I'  Trump2016 yourefired deflect,1,0,1,0,0,0,0,0,0,0,0
  New campaign slogan idea'I know you are but what am I' bully Trump2016 yourefired deflect,1,0,1,0,0,0,0,0,0,0,0
  next to despair hope shines even brighter you get me Matt,0,0,0,0,0,0,1,0,1,0,0
  NHLNYCSWEEPSTAKES having fun watching team North America and cheering team Canada,0,0,0,0,0,1,0,0,0,0,0
  no doubt we are going to struggle this year But moments like that from Payet take the sting out of it,0,0,0,0,0,1,1,0,0,0,0
  No offense but the only way this makes sense is if you work for the magazine Otherwisewho are you apologizing,1,1,1,0,0,0,0,0,0,0,0
  Nobody in that street burning and looting and terrifying innocent citizens was there either,0,0,1,1,0,0,0,0,0,0,0
  Not a word about terrorism,0,0,0,1,0,0,0,0,0,0,0
  not nice  Wishing harm on another human being is deplorable  Your comments show how human and humane you are ,1,0,1,0,0,0,0,0,1,0,0
  not nice  Wishing harm on another human being is deplorable  Your comments show how human and humane you are bully,1,0,1,0,0,0,0,0,1,0,0
  now getting banned but will still lurk in corners and underneath the bed and sofa much to Eyepatch's delight Why is she ,1,0,1,0,0,0,0,0,0,0,0
  of course This is a happy hentai not a sad or gloomy one,0,0,0,0,0,1,0,0,0,0,0
  oh every people can make tipo It is terrible bullying them about that It's trvial and very sad  _emoj_pensive_ ,1,0,1,0,0,0,0,0,1,0,0
  Oh good God Quentin Letts is doing one of his 'comedy' turns angry   BBCTW,1,0,1,0,0,0,0,0,0,0,0
