Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
    Doubt U have anything to be afraid of as Trump has been vilifying minorities amp women,,,1,,,,,,,,
    Even the painting is orange  terrible Election2016,1,,,,,,,,,,
    Even the painting is orange  terrible Election2016,,,1,,,,,,,,
    Fucker blocked me years ago over a question lol  proper holds a grudge old Joe,1,,,,,,,,,,
    gotta shake the booty instead though makes sure it's all good   _emoj_slightly_smiling_face_,,,,,1,,,,,,
    he sure as hell helped me with my depression and still does,,,,,,,1,,,,
    he sure as hell helped me with my depression and still does,,,,,,,,,1,,
    he sure as hell helped me with my depression and still does,,,,,,,,,,,1
    He's jubilant to hear the word that he probably uses in secret heard out loud,,,,,1,,,,,,
    I see my 'eliminate the hanging tongue' campaign is a dismal failure,1,,,,,,,,,,
    I see my 'eliminate the hanging tongue' campaign is a dismal failure,,,1,,,,,,,,
    please Or you could be clouded by your passion Emotion leads you from the truth,,,,,,,1,,,,
    summar one more insult from you and you're gone Idc if you're my dad,,,1,,,,,,,,
    Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,,,1,,,,,,,,
    Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,,,,,,,,1,,,
    Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,,,,,,,,,1,,
    These interviews scare the crap out of me I never imagined so many dumb dumb Americans,1,,,,,,,,,,
    These interviews scare the crap out of me I never imagined so many dumb dumb Americans,,,1,,,,,,,,
   _emoj_grin_  I'll just people watch and enjoy a rare show of optimism,,1,,,,,,,,,
   _emoj_grin_  I'll just people watch and enjoy a rare show of optimism,,,,,1,,,,,,
   _emoj_grin_  I'll just people watch and enjoy a rare show of optimism,,,,,,,1,,,,
   _emoj_heart_  Heart so pure and smile so bright I love you more than the number of stars at night Kindly follow me please Harry ,,,,,1,,,,,,
   _emoj_heart_  Heart so pure and smile so bright I love you more than the number of stars at night Kindly follow me please Harry  ,,,,,,1,,,,,
   _emoj_heart_  Heart so pure and smile so bright I love you more than the number of stars at night Kindly follow me please Harry  ,,,,,,,1,,,,
   _emoj_joy_   _emoj_joy_   _emoj_joy_   Sure half these stars get togetherbreak uphave affairslet porn vids slip outfightect etc all to up there ratings sad   _emoj_joy_ ,,,,,,,,1,,,
   _emoj_joy_   _emoj_joy_   _emoj_joy_   Sure half these stars get togetherbreak uphave affairslet porn vids slip outfightect etc all to up there ratings sad   _emoj_joy_ ,,,,,,,,,1,,
   _emoj_leftwards_arrow_  would furrow and her face would redden as she protests it would seem that being seen as unattractive in Wukong's eyes was  _emoj_rightwards_arrow_ ,1,,,,,,,,,,
   _emoj_leftwards_arrow_  would furrow and her face would redden as she protests it would seem that being seen as unattractive in Wukong's eyes was  _emoj_rightwards_arrow_ ,,,1,,,,,,,,
   _emoj_nerd_face_ dont be sad btw good night davinago sleep larh,,,,,,,,,1,,
   _emoj_stuck_out_tongue_closed_eyes_  scared of their own horror story they wrote afraid of the terror they spread will europe start WW3 in anniversary of WW1,,,,1,,,,,,,
   'We'll see once you're a few drinks in'   A playful wink is passed to him and as they pull up into the small lot of ,,1,,,,,,,,,
   'We'll see once you're a few drinks in'   A playful wink is passed to him and as they pull up into the small lot of ,,,,,1,,,,,,
   'We'll see once you're a few drinks in'   A playful wink is passed to him and as they pull up into the small lot of ,,,,,,,1,,,,
   Actually pretty typical of trump supporters This kid learned birtherism in school That's horrific,1,,,,,,,,,,
   Actually pretty typical of trump supporters This kid learned birtherism in school That's horrific,,,1,,,,,,,,
   Actually pretty typical of trump supporters This kid learned birtherism in school That's horrific,,,,1,,,,,,,
   Actually pretty typical of trump supporters This kid learned birtherism in school That's horrific,,,,,,,,,1,,
   Always so happy to support you brother Keep that fire burning lt3,,,,,1,,,,,,
   Always so happy to support you brother Keep that fire burning lt3,,,,,,1,,,,,
   Always so happy to support you brother Keep that fire burning lt3,,,,,,,1,,,,
   and there was I thinking UKIP were a party of angry old men  how wrong can you be,1,,,,,,,,,,
   Anychance of addressing the communication I sent to you yesterday I still haven't had any contact shocking,,,,,,,,,,1,
   awe cnn so bias and doesn't care about people only money,1,,,,,,,,,,
   awe cnn so bias and doesn't care about people only money,,,1,,,,,,,,
   because distrust in life  Argentina has a lot of heart and this President is worth every vote,,,,,,1,,,,,
   because distrust in life  Argentina has a lot of heart and this President is worth every vote,,,,,,,1,,,,
   because distrust in life  Argentina has a lot of heart and this President is worth every vote,,,,,,,,,,,1
   bobs burgers is an animated show Maybe Bob looks like him They would cast him based on voice too,,1,,,,,,,,,
   bobs burgers is an animated show Maybe Bob looks like him They would cast him based on voice too,,,,,1,,,,,,
   bobs burgers is an animated show Maybe Bob looks like him They would cast him based on voice too,,,,,,,1,,,,
   but at what price The near misses are too many am afraid it may translate into something else,,,,,,,,1,,,
   Connor said he's worried that Jack will steal his girls on a night out ,,,,,,,,,1,,
   Connor said he's worried that Jack will steal his girls on a night out nervous,,1,,,,,,,,,
   Connor said he's worried that Jack will steal his girls on a night out nervous,,,1,,,,,,,,
   Connor said he's worried that Jack will steal his girls on a night out nervous,,,,,,,,1,,,
   course day  potential Leadership excited nervous  proud,,,,1,,,,,,,
   course day  potential Leadership excited nervous  proud,,,,,1,,,,,,
   course day  potential Leadership excited nervous  proud,,,,,,,1,,,,
   Do your fucing job and report the newsJust another bully to go in the basketFreedom or fear,1,,,,,,,,,,
   Do your fucing job and report the newsJust another bully to go in the basketFreedom or fear,,,1,,,,,,,,
   even hard facts don't seem to be sinking in I despair   _emoj_weary_ ,1,,,,,,,,,,
   even hard facts don't seem to be sinking in I despair   _emoj_weary_ ,,,1,,,,,,,,
   even hard facts don't seem to be sinking in I despair   _emoj_weary_ ,,,,,,,,,1,,
   every horror movie that frightened me as a child ie 'IT' Halloween movies all of them nightmare on,,,,1,,,,,,,
   Glad the TV coverage was so successful because the attendance looked pretty dismal,,,,,1,,,,,,
   Glad the TV coverage was so successful because the attendance looked pretty dismal,,,,,,,,,1,,
   Glad the TV coverage was so successful because the attendance looked pretty dismal,,,,,,,,,,1,
   Guys don't use that type of language Save it for raging,1,,,,,,,,,,
   Guys don't use that type of language Save it for raging,,,1,,,,,,,,
   horrible experience with a company like this goldmedal horrible sales person wrong commitmentswrongproduct,1,,,,,,,,,,
   horrible experience with a company like this goldmedal horrible sales person wrong commitmentswrongproduct,,,1,,,,,,,,
   How long ago was that I shudder to think,,,1,,,,,,,,
   how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,1,,,,,,,,,,
   how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,,,1,,,,,,,,
   how many sex cases u need before u guys learn UBER is shocking to the consumer unregulated,,,,,,,,,1,,
   how would you suggest we profile to stop right wing terror,,1,,,,,,,,,
   how would you suggest we profile to stop right wing terror,,,,1,,,,,,,
   i do not offend your Faith unless persecutes me treat me like a dog disrespect me and even so,1,,,,,,,,,,
   I don't listen to White Trash talk about blacks It's insult Talk about your race living in trailers,1,,,,,,,,,,
   I don't listen to White Trash talk about blacks It's insult Talk about your race living in trailers,,,1,,,,,,,,
   I don't see any reason for optimism at this point Just stringing together bad performances,1,,,,,,,,,,
   I don't see any reason for optimism at this point Just stringing together bad performances,,,1,,,,,,,,
   I don't see any reason for optimism at this point Just stringing together bad performances,,,,,,,,1,,,
   I don't see any reason for optimism at this point Just stringing together bad performances,,,,,,,,,1,,
   I dread the comparisons to Queen Mxe1xima Guarantee I will lose followers when that happens,,,1,,,,,,,,
   I dread the comparisons to Queen Mxe1xima Guarantee I will lose followers when that happens,,,,,,,,1,,,
   I get sick to my stomach everytime I see this video amp for the helicopter crew to make such comments is revolting,1,,,,,,,,,,
   I get sick to my stomach everytime I see this video amp for the helicopter crew to make such comments is revolting,,,1,,,,,,,,
   I get sick to my stomach everytime I see this video amp for the helicopter crew to make such comments is revolting,,,,,,,,,1,,
   I rejoice everything time some moron is taken out of the genetics pool,1,,,,,,,,,,
   I respect when someone can give a second chance to a movie they aren't a fan of Why horror is diverse,,,,1,,,,,,,
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot ,,,,,1,,,,,,
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot ,,,,,,1,,,,,
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot ,,,,,,,1,,,,
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot hilarious,,,,,1,,,,,,
   I still can't get jimmy garoppolo out of my head and it's been almost weeks Thanks a lot hilarious,,,,,,,,,,,1
   I'm sure he'll do just fine He can always change to beer or cheer squad,,,,,1,,,,,,
   I'm sure he'll do just fine He can always change to beer or cheer squad,,,,,,,1,,,,
   I'm sure he'll do just fine He can always change to beer or cheer squad,,,,,,,,,,,1
   I'm there let me know ,,1,,,,,,,,,
   I'm there let me know ,,,,,,,1,,,,
   I'm there let me know ,,,,,,,,,,,1
   I'm there let me know sober,,1,,,,,,,,,
   I'm there let me know sober,,,,,,,1,,,,
   idiots are going to sink the economy with free money policies,1,,,,,,,,,,
   idiots are going to sink the economy with free money policies,,,1,,,,,,,,
   idiots are going to sink the economy with free money policies,,,,,,,,,1,,
   If you watch his UN speech you can see his resentment towards us Americans  _emoj_flag_ us_   _emoj_latin_cross_   _emoj_flag_ us_ ,1,,,,,,,,,,
   If you watch his UN speech you can see his resentment towards us Americans  _emoj_flag_ us_   _emoj_latin_cross_   _emoj_flag_ us_ ,,,1,,,,,,,,
   If you watch his UN speech you can see his resentment towards us Americans  _emoj_flag_ us_   _emoj_latin_cross_   _emoj_flag_ us_ ,,,,,,,,,1,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  ,1,,,,,,,,,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  ,,,1,,,,,,,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  ,,,,1,,,,,,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  ,,,,,,,,,1,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  ,,,,,,,,,,1,
   Is that really all you can offer for those who sacrifice daily to keep you safe  sad,,,1,,,,,,,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  sad,,,,,,,,1,,,
   Is that really all you can offer for those who sacrifice daily to keep you safe  sad,,,,,,,,,1,,
   it was indeed lovely and the team were incredibly attentive and on the ball Cheese was a lively gesture,,,,,1,,,,,,
   It would be TragicallyHip if they can help  make hospitalized  sick kids smile   _emoj_blush_   _emoj_victory_hand_   _emoj_heart_ ,,,,,1,,,,,,
   It would be TragicallyHip if they can help  make hospitalized  sick kids smile   _emoj_blush_   _emoj_victory_hand_   _emoj_heart_ ,,,,,,,1,,,,
   It's always fun to anger 'All the Old Dudes' with Rock N' Roll ,1,,,,,,,,,,
   It's always fun to anger 'All the Old Dudes' with Rock N' Roll ,,,,,1,,,,,,
   It's always fun to anger 'All the Old Dudes' with Rock N' Roll ,,,,,,1,,,,,
   It's always fun to anger 'All the Old Dudes' with Rock N' Roll ,,,,,,,1,,,,
   Jus see if you ever do anything you pussy  u don't scare me look who u chill with   _emoj_joy_   _emoj_joy_   _emoj_joy_ ,1,,,,,,,,,,
   Jus see if you ever do anything you pussy  u don't scare me look who u chill with   _emoj_joy_   _emoj_joy_   _emoj_joy_ ,,,1,,,,,,,,
   Jus see if you ever do anything you pussy  u don't scare me look who u chill with   _emoj_joy_   _emoj_joy_   _emoj_joy_ ,,,,,1,,,,,,
   listen I dn't subscribe to this team coq Team xhaka stuff I like all our players Depth has me elated,,,,,1,,,,,,
   Make him be a bully Sit him in a room by himself and let him look at Debo all day,1,,,,,,,,,,
   Make him be a bully Sit him in a room by himself and let him look at Debo all day,,,1,,,,,,,,
   Make him be a bully Sit him in a room by himself and let him look at Debo all day,,,,,,,,,1,,
   make him feel vigorous 'Fine You can kill me now' Said Hestia with a display of only despair rather than her joyful  ,,,1,,,,,,,,
   make him feel vigorous 'Fine You can kill me now' Said Hestia with a display of only despair rather than her joyful  ,,,,,,,,,1,,
   make sure you tell them how scared you are revenge   _emoj_raised_hands_   _emoj_fitzpatrick_type_3  _emoj_raised_hands_   _emoj_fitzpatrick_type_3,1,,,,,,,,,,
   make sure you tell them how scared you are revenge   _emoj_raised_hands_   _emoj_fitzpatrick_type_3  _emoj_raised_hands_   _emoj_fitzpatrick_type_3,,,1,,,,,,,,
   make sure you tell them how scared you are revenge   _emoj_raised_hands_   _emoj_fitzpatrick_type_3  _emoj_raised_hands_   _emoj_fitzpatrick_type_3,,,,1,,,,,,,
   make sure you tell them how scared you are revenge   _emoj_raised_hands_   _emoj_fitzpatrick_type_3  _emoj_raised_hands_   _emoj_fitzpatrick_type_3,,,,,,,,,1,,
   of Iraqi political was fighting with Iran against Iraq in 80s of terror in Iraq is Iranian,,,,1,,,,,,,
   official got in touch Issue not addressed unhappy patheticservices,1,,,,,,,,,,
   official got in touch Issue not addressed unhappy patheticservices,,,1,,,,,,,,
   official got in touch Issue not addressed unhappy patheticservices,,,,,,,,,1,,
   ok but why tomorrow a horrible day my day was great,,,,,1,,,,,,
   ok but why tomorrow a horrible day my day was great,,,,,,,1,,,,
   other begin telling a 'story' he realized that she was making an attempt at cheering him up It was sweet of her and so   _emoj_black_rightward_arrowhead_ ,,,,,1,,,,,,
   other begin telling a 'story' he realized that she was making an attempt at cheering him up It was sweet of her and so   _emoj_black_rightward_arrowhead_ ,,,,,,1,,,,,
   other begin telling a 'story' he realized that she was making an attempt at cheering him up It was sweet of her and so   _emoj_black_rightward_arrowhead_ ,,,,,,,1,,,,
   rather someone that could help her Concern clouded her green eyes not once having seen a girl alone in the woods and  ,,,,,,,,,1,,
   rather someone that could help her Concern clouded her green eyes not once having seen a girl alone in the woods and  ,,,,,,,,,,1,
   sad  This is not film story Who knows could be ploy to escalate tension Unverified report no hype,,,,,,,,1,,,
   She never said anything about taking away guns but I would now bc of your stupid scare tactics for gun salesSickening,1,,,,,,,,,,
   She never said anything about taking away guns but I would now bc of your stupid scare tactics for gun salesSickening,,,1,,,,,,,,
   she would frown a bit folding her arms 'why is it that every time I'm in need of assistance someone expects a lil ,1,,,,,,,,,,
   she would frown a bit folding her arms 'why is it that every time I'm in need of assistance someone expects a lil ,,,1,,,,,,,,
   she would frown a bit folding her arms 'why is it that every time I'm in need of assistance someone expects a lil ,,,,,,,,1,,,
   she would frown a bit folding her arms 'why is it that every time I'm in need of assistance someone expects a lil ,,,,,,,,,1,,
   So  Who cares  Who cares about tax forms too  I believe terrorism and jobs are what is important,1,,,,,,,,,,
   So  Who cares  Who cares about tax forms too  I believe terrorism and jobs are what is important,,,1,,,,,,,,
   That might sting for a bit lads but you'll get over it     betterwithsinnfein,,1,,,,,,,,,
   That might sting for a bit lads but you'll get over it     betterwithsinnfein,,,,,,,1,,,,
   That might sting for a bit lads but you'll get over it     betterwithsinnfein,,,,,,,,,,1,
   the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,1,,,,,,,,,,
   the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,,1,,,,,,,,,
   the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,,,1,,,,,,,,
   the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,,,,1,,,,,,,
   the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run,,,,,,,,1,,,
   The problem is the time it has taken to do this means its going to be out of date already sadly,,,,1,,,,,,,
   The problem is the time it has taken to do this means its going to be out of date already sadly,,,,,,,,1,,,
   The problem is the time it has taken to do this means its going to be out of date already sadly,,,,,,,,,1,,
   There is some hilarity in someone who is literally openly antiscience calling others antiscience,,,,,1,,,,,,
   This shit is gonna start a cold war of who can flag who first,1,,,,,,,,,,
   This shit is gonna start a cold war of who can flag who first,,,1,,,,,,,,
   To good hearts I lost my job I'm Responsible families My Information in profile even dollar if can't just Retweet,,,,,,,,,1,,
   true Just me spitting venom because I'm still bitter with Stripe Like an old man yelling from his porch,1,,,,,,,,,,
   true Just me spitting venom because I'm still bitter with Stripe Like an old man yelling from his porch,,,1,,,,,,,,
   true Just me spitting venom because I'm still bitter with Stripe Like an old man yelling from his porch,,,,,,,,,1,,
   Trump says the refugee situation 'is not just about terrorism it's about quality of life' Take note,1,,,,,,,,,,
   Trump says the refugee situation 'is not just about terrorism it's about quality of life' Take note,,,1,,,,,,,,
   Trump says the refugee situation 'is not just about terrorism it's about quality of life' Take note,,,,1,,,,,,,
   We're the least known band in the World but so glad you asked muchlove ,,,,,1,,,,,,
   We're the least known band in the World but so glad you asked muchlove ,,,,,,1,,,,,
   We're the least known band in the World but so glad you asked muchlove ,,,,,,,1,,,,
   We're the least known band in the World but so glad you asked muchlove hilarious,,,,,1,,,,,,
   We're the least known band in the World but so glad you asked muchlove hilarious,,,,,,,1,,,,
   well cucks among her ranks agree equally about their outrage of black youths shot and harambe,1,,,,,,,,,,
   well cucks among her ranks agree equally about their outrage of black youths shot and harambe,,,1,,,,,,,,
   yeah I received a fine today which I am furious about currently appealing it after being a member for so long,1,,,,,,,,,,
   yeah I received a fine today which I am furious about currently appealing it after being a member for so long,,,1,,,,,,,,
   yeah I received a fine today which I am furious about currently appealing it after being a member for so long,,,,,,,,1,,,
   yes exactly amp he's sold out this country to terror while lying to cover it up,1,,,,,,,,,,
   yes exactly amp he's sold out this country to terror while lying to cover it up,,,1,,,,,,,,
   yes exactly amp he's sold out this country to terror while lying to cover it up,,,,1,,,,,,,
   Yes it is bad to point out racism lest it provoke the racists  Some racists do indeed not like it,1,,,,,,,,,,
   Yes it is bad to point out racism lest it provoke the racists  Some racists do indeed not like it,,,1,,,,,,,,
  _emoj_ascending_node_  Focusing primarily on the person you're talking to rather than yourself and the impression you're making lessens social anxiety,,,,1,,,,,,,
  _emoj_ascending_node_  Focusing primarily on the person you're talking to rather than yourself and the impression you're making lessens social anxiety,,,,,,,1,,,,
  _emoj_bullet_ My brother grabbed me in a aggressive manner and as always  threw tantrums like a kid only knowing how to express himself,1,,,,,,,,,,
  _emoj_bullet_ My brother grabbed me in a aggressive manner and as always  threw tantrums like a kid only knowing how to express himself,,,,,1,,,,,,
  _emoj_expressionless_   _emoj_expressionless_   _emoj_expressionless_  lt that moment you finish a Netflix series and have nothing else to watch depression,,,,,,,,1,,,
  _emoj_expressionless_   _emoj_expressionless_   _emoj_expressionless_  lt that moment you finish a Netflix series and have nothing else to watch depression,,,,,,,,,1,,
  _emoj_face_with_rolling_eyes_ I just want to start all over again ,,1,,,,,,,,,
  _emoj_face_with_rolling_eyes_ I just want to start all over again ,,,,,,,1,,,,
  _emoj_face_with_rolling_eyes_ I just want to start all over again ,,,,,,,,,1,,
  _emoj_fallen_leaf_   _emoj_musical_note_  _emoj_black_sun_with_rays_  fall sounds great  dream blues rock by  Get the top album  'One Love'  by hero  D,,,,,1,,,,,,
  _emoj_fallen_leaf_   _emoj_musical_note_  _emoj_black_sun_with_rays_  fall sounds great  dream blues rock by  Get the top album  'One Love'  by hero  D,,,,,,1,,,,,
  _emoj_fire_   _emoj_information_desk_person_   _emoj_fitzpatrick_type_3  its lit having a class with you Your such a great person and good at cheer,,,,,1,,,,,,
  _emoj_fire_   _emoj_information_desk_person_   _emoj_fitzpatrick_type_3  its lit having a class with you Your such a great person and good at cheer,,,,,,1,,,,,
  _emoj_fire_   _emoj_information_desk_person_   _emoj_fitzpatrick_type_3  its lit having a class with you Your such a great person and good at cheer,,,,,,,1,,,,
  _emoj_fire_   _emoj_information_desk_person_   _emoj_fitzpatrick_type_3  its lit having a class with you Your such a great person and good at cheer,,,,,,,,,,,1
  _emoj_leaves_  When life shows you have a hundred reasons to cry show it that you have a hundred and one reasons to smile   _emoj_leaves_  quotes ,,,,,,,1,,,,
  _emoj_scream_   you've had me   _emoj_joy_    _emoj_joy_  the whole time watching  after you've lost your glasses It was hilarious ,,,,,1,,,,,,
  _emoj_scream_   you've had me   _emoj_joy_    _emoj_joy_  the whole time watching  after you've lost your glasses It was hilarious ,,,,,,,1,,,,
  _emoj_sparkles_  you make me happy    _emoj_sparkles_ ,,,,,1,,,,,,
  _emoj_sparkles_  you make me happy    _emoj_sparkles_ ,,,,,,1,,,,,
  _emoj_sparkles_  you make me happy    _emoj_sparkles_ ,,,,,,,1,,,,
  _emoj_tired_face_  ughh I just want all this to be over it's like a nightmare can we all just get along,1,,,,,,,,,,
  _emoj_tired_face_  ughh I just want all this to be over it's like a nightmare can we all just get along,,,1,,,,,,,,
  _emoj_tired_face_  ughh I just want all this to be over it's like a nightmare can we all just get along,,,,1,,,,,,,
  _emoj_trophy_  Success is the best revenge Whatever you're thinking about doing  do something better  ,,,,,1,,,,,,
  _emoj_trophy_  Success is the best revenge Whatever you're thinking about doing  do something better  ,,,,,,,1,,,,
  _emoj_upside_down_face_ back to school aka back to social anxiety   _emoj_upside_down_face_,,,,1,,,,,,,
  _emoj_upside_down_face_ back to school aka back to social anxiety   _emoj_upside_down_face_,,,,,,,,1,,,
  'It's alright' She said cheerfully trying to make the moment fun,,,,,1,,,,,,
  AA have the right of passage when it comes to the 'N' word  Why should he insult him in his church  Ignorant,1,,,,,,,,,,
  AA have the right of passage when it comes to the 'N' word  Why should he insult him in his church  Ignorant,,,1,,,,,,,,
  absolutely boringM a big Manchester United fan  nd its really disappointing to see them play in ths dull boring way,1,,,,,,,,,,
  absolutely boringM a big Manchester United fan  nd its really disappointing to see them play in ths dull boring way,,,1,,,,,,,,
  absolutely boringM a big Manchester United fan  nd its really disappointing to see them play in ths dull boring way,,,,,,,,,1,,
  agreed   _emoj_heart_eyes_  an awe to meet such beautiful powerful animals,,,,,1,,,,,,
  Although I don't expect a trumpie to understand the difference between real things and pretend things ,1,,,,,,,,,,
  Although I don't expect a trumpie to understand the difference between real things and pretend things ,,,1,,,,,,,,
  Although I don't expect a trumpie to understand the difference between real things and pretend things sad,,,1,,,,,,,,
  Although I don't expect a trumpie to understand the difference between real things and pretend things sad,,,,,,,,1,,,
  Although I don't expect a trumpie to understand the difference between real things and pretend things sad,,,,,,,,,1,,
  an 'Honorable Senator' cheering when a cease fire does not hold PEOPLE DIE AND YOU CHEER GENOCIDE SUPPORT NOT GOOD,1,,,,,,,,,,
  an 'Honorable Senator' cheering when a cease fire does not hold PEOPLE DIE AND YOU CHEER GENOCIDE SUPPORT NOT GOOD,,,1,,,,,,,,
  an 'Honorable Senator' cheering when a cease fire does not hold PEOPLE DIE AND YOU CHEER GENOCIDE SUPPORT NOT GOOD,,,,1,,,,,,,
  and gives it to hear 'Please I can tell you anything if you want to listen maybe you're dont afraid anymore of me ,,,,,1,,,,,,
  and peter your radio piece on off the ball was pure class  no digs  no revenge  a total balanced pro    _emoj_clap_   _emoj_clap_   _emoj_clap_ ,,,,,,,,,,1,
  annoyed by the good loving fans of Onision including myself Is really annoyed at how people just are too cheerful,1,,,,,,,,,,
  annoyed by the good loving fans of Onision including myself Is really annoyed at how people just are too cheerful,,,1,,,,,,,,
  another angry white man,1,,,,,,,,,,
  another angry white man,,,1,,,,,,,,
  another angry white man,,,,,,,,,1,,
  Another happy customer  secreteyes,,,,,1,,,,,,
  Another happy customer  secreteyes,,,,,,,1,,,,
  as a musician I can tell you that more people get discouraged when learning because of shitty instruments than anything else,1,,,,,,,,,,
  as a musician I can tell you that more people get discouraged when learning because of shitty instruments than anything else,,,1,,,,,,,,
  At the risk of being blocked I thought that video from the wake was hilarious,,,,,1,,,,,,
  awe I love you twooo come adventure with me someday,,,,,1,,,,,,
  awe I love you twooo come adventure with me someday,,,,,,1,,,,,
  bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,1,,,,,,,,,,
  bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,,,,,,,,,1,,
  bad news if ordered online it hasn't gone through same happened to me had to re order on the phone furious,1,,,,,,,,,,
  bad news if ordered online it hasn't gone through same happened to me had to re order on the phone furious,,,,,,,,,1,,
  because there is a realistic probability that a clown might be their next president clown uspol nightmare,,,,1,,,,,,,
  Between Barroso going to Goldman and this the  is getting a very serious self inflicted problem,,,1,,,,,,,,
  Breath You are trending despondent Mrs Clinton will win If you keep your gloves on guard up and punch like hell,1,,,,,,,,,,
  Breath You are trending despondent Mrs Clinton will win If you keep your gloves on guard up and punch like hell,,,1,,,,,,,,
  Breath You are trending despondent Mrs Clinton will win If you keep your gloves on guard up and punch like hell,,,,,,,1,,,,
  BTW George W Bush left office in We have had terrific leadership under Barack Obama Keep America Great,1,,,,,,,,,,
